order,taskQuestion,correctAnswer,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
1,هي ديه كانت جملة تدريبية؟,9,practice,ديه هي جملتك التدريبية الأولى.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,هي ديه كمان كانت جملة تدريبية؟,9,practice,و ديه جملة تنية للتدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,practice,مهم انك تخلي رأسك ثابتة الوقت كلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,practice,ومن فضلك حاول مترمش لما تشوف الجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,هو ممكن ترمش و الجملة على الشاشة؟,7,practice,ممكن الرمش بعد الجملة وأثناء الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,,practice,ولازم كمان تحاول تسترخي قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,هو يمكن تبص للجنب؟,7,practice,حافظ على تركيز عينيك على الصندوق الموجود في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,,practice,وحاول تخلي وشك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,,practice,خذ لحظة عشان تسأل أي أسئلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,هو حيكون في جمل تدريبية تنية؟,7,practice,ده هو المثال الأخير للجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,,incongruent.58,الشتا كان قاسي اوي المية.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
13,هو المدرسة بترتب نفسها قبل الحصص؟,9,BVA.27,كل مدرسة مجتهدة بترتب نفسها قبل الحصص.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
14,,,cleft.55,مين الي كان السواق المشتت خبطه في الباركنج الزحمة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
15,,,BA.13,لما هي كانت في البيت الداية ساعدت الام.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
16,,,RA.88,الشيف المحترف بيطور نفسه في المطعم.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
17,هو الطباخ سبب مشكلة بسبب الاهمال؟,9,yn.20,هو كان الطباخ المهمل عمل كارثه عشان يتؤف فجأه؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
18,,,Control.28,لما أنا كنت في القاعة المنظمة جهزت الزينة.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
19,,,in-situ.88,هو كان العجوز الطيب بيساعد مين في السوبرماركت المغرب؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
20,,,RA.13,الرسامة المعروفة بترسم نفسها عشان تتشهر.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
21,,,cleft.58,ايه الي كان الولد الخايف سامعه في البيت المسكون؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
22,هو الحارس ضيع الهربنين؟,7,Control.58,لما أنا كنت في السجن الحارس مسك الهربنين.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
23,,,congruent.13,مصطفى طلب همبرغر و بطاطس.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
24,,,NP.73,كل مبرمج محترف بيدرب الطلاب على البروجرام.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
25,,,in-situ.79,هو كان الرسام المحترف بيرسم ايه على الحطان القديمة؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
26,,,congruent.28,الولد الصغير شاط الكورة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
27,,,yn.35,هو كانت البنت المتأخرة مستنيه الولد عشان يجهز بسرعة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
28,,,BVA.57,كل مجرم مسجون بيحاسب نفسه على الحبسة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
29,,,incongruent.43,جزمتها الجديدة مقاسها سنة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
