sentence,trigger,taskQuestion,correctAnswer
لما هي كانت في المستشفى الممرضة نصحت العيان,224,,
لما هي كانت في الحضانة المدرسة علمت الاطفال,225,,
لما هي كانت في الجنينة الناني فسحت الولاد,226,Here is where a question will be. Press yes to continue.,
لما هي كانت علي الطيارة المضيفة ساعدت المسافرين,227,This could be another question. Press no to continue.,
لما هي كانت في المكتب السكرتيرة نظمت المستندات,228,,
لما هي كانت في الاستوديو المذيعة حيت الجمهور,229,,
لما هي كانت في اللوكيشن الممثلة خلفت الكاتب,230,Maybe another question here. Press yes to continue.,
لما هي كانت في السوق الخياطة فصلت التاجر,231,,
لما هي كانت في البيت الشغالة شافت الحرامي,224,And another question here. Press no to continue.,
لما هي كانت في المدرسة الام ودعت الولاد,225,,
لما هي كانت في المطبخ الطباخة كلمت السواق,226,,
لما هي كانت في الصالون الكوافيرة ظبطت الزبونة,227,Did April forget the book?,
لما هي كانت في المستشفى الداية ساعدت الام,228, ,
لما هي كانت في الورشة الرسامة نقدت الفنان,229, ,
لما هي كانت في الكنيسة الراهبة كلمت البابا,230, ,
لما هو كان في المستشفى الدكتور عالج العيان,231, ,
لما هو كان في الموقع المهندس عاين الفرمن,224, ,
لما هو كان في المطار الطيار قابل المضيفة,225, ,
لما هو كان في المحكمة القاضي عاقب المجرم,226, ,
لما هو كان في الشغل السواق وصل الزبون,227, ,
لما هو كان في المدرسة الناظر عاقب الطلاب,228,Is a hen a female chicken?,
لما هو كان في العاصمة الوزير قابل الرئيس,229, ,
لما هو كان في البيت الكهربائي حاسب الاب,230,Did Aaron watch a movie?,
لما هو كان في المطعم الشيف اكل الويتر,231, ,
لما هو كان في المعمل العالم علم المساعد,224, ,
لما هو كان في المستشفى الجراح كلم الممرضة,225,Did Michael wonder about the game?,
لما هو كان في المكتب المحامي حضر المتهم,226,Did Joshua wonder about the cat?,
لما هو كان في الورشة النجار درب المساعد,227, ,
لما هو كان علي المركب القبطان شجع التاقم,228, ,
لما هو كان في القسم الضابط حيا النقيب,229, ,
لما هي كانت في الجنينة الفلاحة ترضت الولاد,230, ,
لما هي كانت في المطبخ الطباخة علمت المبتدئين,231,,
لما هو كان في الموقع المهندس راجع التصميم,224, ,
لما هي كانت في الصف المدرسة هزأت الطلاب,225, ,
لما هو كان في المكتب المحاسب راجع الحسابات,226, ,
لما هو كان في العمليات الدكتور كسر الجهاز,227, ,
لما هي كانت في المستشفى الصيدلانية صرفت الادوية,228,Was there blackmail?,
لما هي كانت في العمليات الممرضة ساعدت الدكتور,229, ,
لما هو كان في المحطة الضابط حل القضية,230,Did they wash the park?,
لما هو كان في المينا البحار جهز المركب,231, ,
لما هو كان في الملعب المدرب علم اللعيبة,224, ,
لما هي كانت في المعرض الرسامه عرضت اللوح,225, ,
لما هو كان في المكتب المدير نظم الاجتماعات,226, ,
لما هي كانت في المسرح الممثلة مثلت الدور,227,Did Mark eat the pizza?,
لما هو كان في المطار الطيار جهز للاقلاع,228, ,
لما هي كانت في الأجتماع السكرتيره كتبت الملاحظات,229, ,
لما هي كانت في الجنينة الشغالة لعبت الاولاد,230,Did Eliza read a book?,
لما هو كان في الاستوديو المنتج ضبط المشهد,231, ,
لما هي كانت في العرض المصممه عرضت التصاميم,224, ,
لما هو كان في الطوارئ الجراح انقذ العجوز,225, ,
لما هو كان في البيت الكهربائي صلح الانوار,226,Was there a bribe?,
لما هو كان في المؤتمر السفير القى كلمة,227, ,
لما هي كانت في الطيارة المضيفة جابت الأكل,228,,
لما هو كان في السجن الحارس مسك الهربنين,229, ,
لما هو كان في الجيم المدرب مرن المتسابقين,230, ,
لما هي كانت في المكتب المترجمة ترجمة الوثائق,231, ,
لما هو كان في المصنع النجار عمل ترابيزة,224, ,
لما هو كان في الاستوديو المذيع قدم النشرة,225, ,
لما هو كان في المشغل الخياط جهز البدلا,226,Did Jason sell a t-shirt?,
لما هي كانت في القاعة المنظمة جهزت الزينة,227,,
لما أنا كنت في المستشفى الممرضة نصحت العيان,228,,
لما أنا كنت في الحضانة المدرسة علمت الاطفال,229,,
لما أنا كنت في الجنينة الناني فسحت الولاد,230,,
لما أنا كنت علي الطيارة المضيفة ساعدت المسافرين,231,,
لما أنا كنت في المكتب السكرتيرة نظمت المستندات,224,,
لما أنا كنت في الاستوديو المذيعة حيت الجمهور,225,,
لما أنا كنت في اللوكيشن الممثلة خلفت الكاتب,226,,
لما أنا كنت في السوق الخياطة فصلت التاجر,227,,
لما أنا كنت في البيت الشغالة شافت الحرامي,228,,
