sentence,trigger,taskQuestion,correctAnswer
كل موظف شأيان بيكافئ نفسه بعد المشروع,201,,
كل طالبة مجتهدة بتكافئ نفسها بعد الامتحان,201,,
كل ممثل مشهور بيشوف نفسه في المسلسلات,201,Here is where a question will be. Press yes to continue.,
كل رياضية أولمبية بتشوف نفسها في الجرنان,201,This could be another question. Press no to continue.,
كل راقص متمرس  بيصور نفسه في التمارين,201,,
كل مرشدة سياحية بتصور نفسها عند الاثار,201,,
كل طفل صغير بيأكل نفسه في الحضانة,201,Maybe another question here. Press yes to continue.,
كل شيف محترف بتأكل نفسها من الطبيخ,201,,
كل اهوجي تعبان بيشرب نفسه من الاهوة,201,And another question here. Press no to continue.,
كل بنت عطشانة بتشرب نفسها من الكوباية,201,,
كل مذيع شاطر بيكلم نفسه عشان يتمرن,201,,
كل وزيرة جديدة  بتكلم نفسها ابل الخطاب,201,Did April forget the book?,
كل مغني مغرور بيحب نفسه في الاستعراض,201, ,
كل ست شجاعة بتحب نفسها في المجتمع,201, ,
كل ولد غلطان بيسامح نفسه بعد العقاب,201, ,
كل مسجونة ندمانة بتسامح نفسها بعد الخروج,201, ,
كل موظف مركز بيعاين نفسه بعد المشروع,201, ,
كل دكتورة جامعية ببيعاين نفسها بعد المحاضرة,201, ,
كل مرشح جاهز بيرشح نفسه عشان الانتخابات,201, ,
كل مديرة طموحا بترشح نفسها عشان المركز,201, ,
كل رياضي متحمس بيشجع نفسه في المباراة,201,Is a hen a female chicken?,
كل مغنية مشهورة بتشجع نفسها قبل الاستعراض,201, ,
كل مجرم مسجون بيحاسب نفسه على الحبسة,201,Did Aaron watch a movie?,
كل أم قلوقة بتحاسب نفسها علي الحوادث,201, ,
كل ولد صغير بيرسم نفسه في الشخبيطة,201, ,
كل رسامة معروفة بترسم نفسها عشان تتشهر,201,Did Michael wonder about the game?,
كل كاتب محبوب بيتحدى نفسه عشان يتحسن,201,Did Joshua wonder about the cat?,
كل ممرضة مبتدئة بتتحدى نفسها في الشغل,201, ,
كل سواء حريف بيراجع نفسه قبل الرحلة,201, ,
كل محامية متوترة بتراجح نفسها قبل الجلسة,201, ,
كل موسيقار حساس بيسمع نفسه في التسجيلات,201, ,
كل ممثلة صوتيا بتسمع نفسها في الافلام,201,,
كل راجل غني بيدلع نفسة بعد الشأة,201, ,
كل عروسة جديدة بتدلع نفسها قبل الفرح,201, ,
كل صيدلي عيان بيعالج نفسه في الصيدلية ,201, ,
كل دكتورة كبيرة بتعالج نفسها في المستشفى,201, ,
كل سواق جديد بيطمن نفسه قبل الامتحان,201,Was there blackmail?,
كل مريضة متوترة بتطمن نفسها بعد العلاج,201, ,
كل مهندس ذكي بيجهز نفسه قبل المشروع,201,Did they wash the park?,
كل جراحة حريصة  بتجهز نفسها قبل العملية,201, ,
كل عجوز حكيم بيعلم نفسه من الحياة,201, ,
كل ممثلة قديرة بتعلم نفسها من الأدوار,201, ,
كل مدرس مضغوط بيريح نفسة بعد الامتحانات,201, ,
كل خياطة معروفة بدرب نفسها في التطريز,201,Did Mark eat the pizza?,
كل غطاس قديم بيحمي نفسه من الخطر,201, ,
الموظف الشأيان بيكافئ نفسه بعد المشروع,201, ,
الطالبة المجتهدة بتكافئ نفسها بعد الامتحان,201,Did Eliza read a book?,
الممثل المشهور بيشوف نفسه في المسلسلات,201, ,
الرياضية الأولمبية بتشوف نفسها في الجرنان,201, ,
الراقص المتمرس  بيصور نفسه في التمارين,201, ,
المرشدة السياحية بتصور نفسها عند الاثار,201,Was there a bribe?,
الطفل الصغير بيأكل نفسه  في الحضانة,201, ,
الشيف المحترف بتأكل نفسها من الطبيخ,201,,
الاهوجي التعبان بيّشرب نفسه من الاهوة,201, ,
البنت العطشانة بتشرب نفسها من الكوباية,201, ,
المذيع الشاطر بيكلم نفسه عشان يتمرن,201, ,
الوزيرة الجديدة  بتكلم نفسها ابل الخطاب,201, ,
المغني المغرور بيحب نفسه في الاستعراض,201, ,
الست الشجاعة بتحب نفسها في المجتمع,201,Did Jason sell a t-shirt?,
الولد الغلطان بيسامح نفسه بعد العقاب,201,Was there testimony?,
المسجونة الندمانة بتسامح نفسها بعد الخروج,201, ,
الموظف المركز بيعاين نفسه بعد المشروع,201,Was there a complaint?,
الدكتورة الجامعية ببيعاين نفسها بعد المحاضرة,201, ,
المرشح الجاهز بيرشح نفسه عشان الانتخابات,201, ,
المديرة الطموحا بترشح نفسها عشان المركز,201,Did Pam brush her teeth?,
الرياضي المتحمس بيشجع نفسه في المباراة,201, ,
المغنية المشهورة بتشجع نفسها قبل الاستعراض,201, ,
المجرم المسجون بيحاسب نفسه على الحبسة,201, ,
الأم القلوقة بتحاسب نفسها علي الحوادث,201,Did Alexis play tennis?,
الولد الصغير بيرسم نفسه في الشخبيطة,201, ,
