order,taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,هل هذي كانت جملة تدريب؟,9,2,practice,هذي أول جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل هذي كانت بعد جملة تدريب؟,9,2,practice,وهذي جملة تدريب ثانيه.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,2,practice,الحيلة هي أن تخلي رأسك ثابت تماما طول الوقت.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,2,practice,لو سمحت حاول ما ترمش خلال الجملة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر ترمش خلال الجملة؟,7,2,practice,تقدر ترمش بعد الجملة وخلال الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,2,practice,لازم تحاول ترتاح قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر تشوف بطرف عينك؟,7,2,practice,حط عينك على الصندوق اللي في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,2,practice,وحاول تخلي ويهك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,2,practice,خذ لحظة عشان تسأل أي سؤال ممكن يكون عندك.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل بيكون في أي جمل تدريب ثانية؟,7,2,practice,هذي آخر جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,,2,NP.24,كل مغنية مشهورة تهيئ الفرقة قبل الحفل.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2,,,2,cleft.19,منو اللي كانت الحرمة العيوز تترياه في العيادة المزدحمة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,,,2,congruent.60,هم سخنوا الحوض بالطاقة الشمسية.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
4,,,2,Control.30,"يوم أنا كنت في المكتب، المترجمة ترجمت الوثائق.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5,,,2,incongruent.30,"أمس، هم تجديفوا في المكينة.",21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
6,,,2,fronting.51,شو كانت الطالبة المجتهده تذاكر من المواد الصعبة؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
7,البابا في الكنيسة؟,9,2,BA.45,"يوم هي كانت في الكنيسة، الراهبة كلمت البابا.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
8,,,2,RA.45,المسلم الملتزم يذكر نفسه في الصلاة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
9,,,2,cleft.25,شو اللي كان الدكتور المشغول يعالجه في عيادة العظام؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
10,,,2,BVA.41,كل مسؤولة مهتمه تعاتب نفسها بعد الفشل.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
11,,,2,congruent.45,يعتبر شي نحس إنك تمشي تحت السلم.,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
12,المبرمج قلت مهاراته؟,7,2,RA.04,المبرمج الشغوف يطور نفسه في البرمجة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
13,,,2,incongruent.15,الدراجات يقدرون يطلعون أصوات فرو.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
14,,,2,yn.90,كان الحرامي المسجون سارق من أغلب سكان المجمع؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
15,,,2,fronting.66,منو كان البلوقر الغيور فاضح في البوست الطويل؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
16,التقييم يسبب تطور؟,9,2,BVA.22,كل طباخ محترف يطور نفسه بعد التقييم.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
17,,,2,BA.60,"يوم هو كان في القسم، الضابط حيا النقيب.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
18,,,2,NP.60,كل ولد غلطان يسامح أهله بعد العقاب.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
19,الحرمة المستعيلة شلت تلفونها؟,7,2,yn.71,كانت الحرمة المستعيلة ناسية تلفونها في البيت فوق؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
20,,,2,Control.27,"يوم أنا كنت في المصنع، النجار صنع طاولة.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
21,,,2,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,,2,congruent.44,أنا بالعادة أدخن سجائر المنثول.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
23,,,2,BVA.01,كل باريستا محترف يدرب نفسه قبل الأفتتاح.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
24,,,2,cleft.24,شو اللي كان المغني المشهور يغنيه في الحفلة الليلة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25,,,2,incongruent.29,هم ربوا الغنم في الحلم.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
26,,,2,yn.70,كانت المريضة اليوعانة تاكل عدل عشان تتحسن حالتها؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
27,,,2,BVA.44,كل محامية شغوفه تطور نفسها مع القضايا.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
28,,,2,fronting.50,منو كان السباح المتحمس ينافس في البطولة الافريقية؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
29,ميرة كملت رقاد؟,7,2,incongruent.14,ميره نشت بعد ما يتها زولية.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
30,,,2,BA.59,"يوم هو كان على المركب، القبطان شجع الطاقم.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
31,البنت في الحديقة؟,9,2,cleft.17,منو اللي كانت البنت النشيطة تلحقه في حديقة الفريج؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32,,,2,RA.79,العروسة اليديدة تدلع نفسها قبل العرس.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
33,,,2,fronting.62,منو كانت اللاعبة التعبانة تنافس في المباراة الاخيرة؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
34,,,2,NP.18,كل مدير مهموم يهلك موظفينه في الدوام.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
35,,,2,yn.89,كان الجراح الخبير يعالج الكابتن من الفريق الوطني؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
36,,,2,BA.44,"يوم هي كانت في الورشة، الرسامة نقدت الفنان.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
37,المجرم كشف نفسه؟,7,2,RA.13,المجرم السفاح يخفي نفسه من المباحث.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
38,,,2,Control.29,"يوم أنا كنت في المشغل، الخياط جهز المخور.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
39,,,2,congruent.59,طلعتهم اختربت من المطر.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
40,,,2,NP.40,كل مستشارة متعمقة تهلك المتدرب عشان العميل.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
41,المنتج في الأستوديو؟,9,2,Control.26,"يوم أنا كنت في الاستوديو، المنتج ضبط المشهد.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
42,,,2,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,الفستان مطرز؟,7,2,yn.67,كانت الخياطة الشاطرة تطرز فستان حق العروس الحلوة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
44,,,2,RA.62,الموظف المركز يختبر نفسه بعد المشروع.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
45,البطلة تحارب في الرواية؟,9,2,fronting.54,منو كانت البطلة الشجاعة تحارب في اخر رواية؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
46,,,2,incongruent.28,الولد الصغير شات السيارة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
47,,,2,cleft.23,شو اللي كان الطباخ المحترف يجهزه في مطبخ المطعم؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
48,الرسامة خلت اليهال متوصخين؟,7,2,NP.28,كل رسامة مبهرة تنظف الأطفال بعد الرسم.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
49,,,2,BA.43,"يوم هي كانت في البيت، الممرضة ساعدت الام.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
50,,,2,NP.88,المدرس المضغوط يهدي الطلاب بعد الامتحانات.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
51,,,2,fronting.49,منو كان الاب الفخور يشجع في مباراة الكورة؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
52,,,2,BVA.83,كل مريضة متوترة تطمن نفسها بعد العلاج.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
53,,,2,Control.24,"يوم أنا كنت في الجم، المدرب مرن المتسابقين.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
54,,,2,incongruent.13,سالم طلب برجر وبطاط أوراق.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
55,,,2,BVA.15,كل مريض معدي يحبس نفسه في الحجر.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
56,الورشة للنجار؟,9,2,BA.58,"يوم هو كان في الورشة، النجار درب المساعد.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
57,,,2,congruent.58,الشتاء كان وايد قاسي هالسنة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
58,,,2,Control.28,"يوم أنا كنت في الاستوديو، المذيعة نشرة الأخبار.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
59,,,2,cleft.16,منو اللي كانت الممرضة الطيبة تساعده في غرفة الطواري؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
