taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,,7,practice,这是 第一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
这是不是也是一句测试句子？,9,7,practice,这是 另一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,practice,重要的是 请 全程 保持 你的 头部 不动。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,practice,同时 请 尽量 不要 在 句子 出现的 过程中 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可不可以在句子出现过程中眨眼？,7,7,practice,你 可以 在 句子 全部 出现后 或 回答 问题 时 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,practice,你 应该 尝试 尽可能地 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可以看向画面两边吗？,7,7,practice,请 将 目光 保持在 画面 中心 的 方框 中。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,practice,尽量 保持 脸部 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,practice,现在 你 可以 向 我们 提出 任何 疑问。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
还会有更多的测试句子吗？,7,7,practice,这是 最后 一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,thehell.71,玛丽 想知道 那个 上海的 会长 到底 端了 什么 给 大学的 教授。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
记者说采访对象提了没有重点的问题吗？,7,7,condition3.11,每个 记者 采访 的时候 都 说 采访对象 提了 到位的 问题。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,7,congruent.11,我 喜欢 咖啡 配 冰淇淋。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,7,condition4.116,那个 掌门 练功 的时候 说 首席弟子 吃了 蓝色的 仙丹。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,7,yesno.86,裘德 想知道 那个 公路的 警察 教了 那门 知识 给 牙医的 助理 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,7,RA.86,那个 歌手 演出 的时候 说 自己 喝了 温热的 白水。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,7,congruent.41,他 解开了 脖子上的 领带。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,7,condition3.71,每个 船长 指挥 的时候 都 说 水手总督 下了 清晰的 命令。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,7,incongruent.56,牛群 在 泥地里 演讲。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
编剧用了好用的键盘吗？,9,7,BVA.41,每个 编剧 打字 的时候 都 说 自己 用了 好用的 键盘。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,7,yesno.41,佩吉 想知道 那个 邮轮的 船员 赔了 那辆 汽车 给 协会的 会长 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,7,incongruent.26,小黄 穿了 一件 深色的 海岸。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
厨师是大学食堂的厨师吗？,7,7,thehell.26,杰瑞 想知道 那个 餐馆的 厨师 到底 教了 什么 给 医院的 护士。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
