order,taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,,,1,practice,This is your first practice sentence.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,And here is another practice sentence.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Here is where a question will be. Press yes to continue.,9,1,practice,The trick is to keep as still as possible during this sentence.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,This could be another question. Press no to continue.,7,1,practice,Even something as small as a blink can be a problem.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,Try to keep your eyes in the center of the screen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,You should also try to relax as much as possible.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Maybe another question here. Press yes to continue.,9,1,practice,Tension in your face can disrupt the MEG.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,We are almost finished with the practice.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,And another question here. Press no to continue.,7,1,practice,Take a moment to ask any questions you might have.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,This is the last example sentence. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Did April forget the book?,9,1,congruent.16,"I don't know its title, but April reported that she forgot a book in the classroom.",4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2, ,,1,RA.19,Austin wondered if the advice about the weather surprised the campers.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
3, ,,1,fronting.01,Did the auction for the land destroy the community?,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4, ,,1,incongruent.31,"I don't know her name, but Vince said that he wrote a representative in the government.",22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
5, ,,1,BA.3,"I don't know its name, but Dave says that he photographed something from the airplane.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
6, ,,1,BVA.53,My cat is covered with white fur.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
7, ,,1,Control.46,What did the advertisement for the show interrupt?,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
8, ,,1,yn.21,Did the arrest by the police frighten the community?,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
9, ,,1,NP.78,"I don't know who, but Pete claims that he scared someone in the woods.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
10,Is a hen a female chicken?,9,1,BVA.70,A female chicken is called a hen.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
11, ,,1,fronting.72,After being robbed the victim called the mile.,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
12,Did Aaron watch a movie?,9,1,cleft.52,"I didn't watch anything, but Aaron said that he watched a movie on the internet.",136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
13, ,,1,BA.1,"I didn't race anyone, but Veronica said that she raced a neighbor down the street.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
14, ,,1,cleft.68,Kevin wondered who the advice from the consultant assisted.,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
15,Did Michael wonder about the game?,7,1,incongruent.46,Michael wondered if the arrest of the politician caused the protest.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
16,Did Joshua wonder about the cat?,7,1,NP.25,Joshua wondered what the article about the scandal revealed.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
17, ,,1,yn.28,Joan warmed the baby's bottle of work.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
18, ,,1,Control.31,Who did the advertisement by the company disappoint?,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
19, ,,1,RA.42,"I didn't compliment anyone, but Abbie claims that she complimented someone at the event.",66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
20, ,,1,congruent.01,"I don't know what, but Mary said that she found something at the park.",4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
21,,,1,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22, ,,1,congruent.02,"I don't know its meaning, but Ken claimed that he overheard a hint about the test.",6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
23, ,,1,yn.26,"I didn't assist anyone, but George says that he assisted someone in the garage.",129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
24, ,,1,fronting.03,Christopher wondered if the blueprints by the engineers described the ship.,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
25, ,,1,BVA.21,Who did the article by the journalist torture?,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
26,Was there blackmail?,9,1,congruent.17,What did the blackmail by the mistress threaten?,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
27, ,,1,BA.5,John filled the pen with milk.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
28,Did they wash the park?,9,1,yn.29,After dinner they washed the park.,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
29, ,,1,BVA.75,Thomas wondered who the book by the teacher entertained.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
30, ,,1,Control.32,"I didn't buy anything, but John claims that he bought a computer at the mall.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
31, ,,1,RA.82,"I don't know who, but Adam said that he pestered someone at the company.",66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
32, ,,1,NP.85,"I didn't wound anyone, but Sarah claimed that she wounded a soldier in the battle.",65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
33,Did Mark eat the pizza?,7,1,incongruent.47,"I didn't read anything, but Mark claimed that he read something before the meeting.",20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
34, ,,1,fronting.73,Andrew wondered what the blueprints for the building revealed.,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
35, ,,1,NP.20,Did the comment about the bribe surprise the reporter?,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
36,Did Eliza read a book?,7,1,cleft.69,"I don't know what, but Eliza said that she left something at the shop.",136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
37, ,,1,BA.2,Abby brushed her teeth after every meal.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
38, ,,1,Control.47,New York is a very busy city.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
39, ,,1,incongruent.32,Robert wondered if the book about the wizard captivated the children.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
40,Was there a bribe?,9,1,RA.81,Did the bribe from the lobbyist cause the congressional hearing?,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
