sentence,trigger,taskQuestion,correctAnswer
 لمُدرسة,224,,
لما هي كانت في المدرسة المُدرسة علمت الاطفال,225,Maybe another question here. Press yes to continue.,
لما هي كانت في المدرسة المُدرسة علمت الاطفال,226,,
لما هي كانت في المدرسة المُدرسة علمت الاطفال,227,And another question here. Press no to continue.,
لما هي كانت في الحضانة الام ودعت الولاد,228,,
لما هي كانت في المطبخ الطباخة اكلت السواق,229,,
لما هي كانت في الصالون الكوافيرة ظبطت الزبونة,230,Did April forget the book?,
لما هي كانت في المستشفى الداية ساعدت الام,231, ,
لما هي كانت في الورشة الرسامة نقدت الفنان,224, ,
لما هي كانت في الكنيسة الراهبة كلمت البابا,225, ,
لما هو كان في المستشفى الدكتور عالج العيان,226, ,
لما هو كان في الموقع المهندس عين الفرمن,227, ,
لما هو كان في المطار الطيار قابل المضيفة,228, ,
لما هو كان في المحكمة القاضي عاقب المجرم,229, ,
لما هو كان في الشغل السواق وصل الزبون,230, ,
لما هو كان في المدرسة الناظر عاقب الطلاب,231,Is a hen a female chicken?,
لما هو كان في العاصمة الوزير  قابل الرئيس,224, ,
لما هو كان في البيت الكهربائي حاسب الاب,225,Did Aaron watch a movie?,
لما هو كان في المطعم الشيف اكل الويتر,226, ,
لما هو كان في المعمل العالم علم المساعد,227, ,
لما هو كان في المستشفى الجراح كلم الممرضة,228,Did Michael wonder about the game?,
لما هو كان في المكتب المحامي حضر المتهم,229,Did Joshua wonder about the cat?,
لما هو كان في الورشة النجار درب المساعد,230, ,
لما هو كان علي المركب القبطان شجع التاقم,231, ,
لما هو كان في الاسم الضابط حيا النقيب,224, ,
لما أنا كنت في المستشفى الممرضة نصحت العيان,225, ,
لما أنا كنت في المدرسة المدرسة علمت الاطفال,226,,
لما أنا كنت في الجنينة الناني فسحت الولاد,227, ,
لما أنا كنت علي الطيارة المضيفة ساعدت المسافرين ,228, ,
لما أنا كنت في المكتب السكرتيرة قابلت المدير,229, ,
لما أنا كنت في الاستديو المذيعة حيت الجمهور,230, ,
لما أنا كنت في اللوكيشن الممثلة عرضت الكاتب,231,Was there blackmail?,
لما أنا كنت في السوق الخياطة فصلت التاجر,224, ,
لما أنا كنت في البيت الشغالة شافت الحرامي,225,Did they wash the park?,
لما أنا كنت في الحضانة الام ودعت الولاد,226, ,
لما أنا كنت في المطبخ الطباخة اكلت السواق,227, ,
لما أنا كنت في الصالون الكوافيرة ظبطت الزبونة,228, ,
لما أنا كنت في المستشفى الداية ساعدت الام,229, ,
لما  أنا كنت في الورشة الرسامة نقدت الفنان,230,Did Mark eat the pizza?,
لما أنا كنت في المستشفى الدكتور عالج العيان,231, ,
لما أنا كنت في الموقع المهندس عين الشغل,224, ,
لما أنا كنت في المطار الطيار قابل المضيفة,225,Did Eliza read a book?,
لما أنا كنت في المحكمة القاضي عاقب المجرم,226, ,
لما أنا كنت في الشغل السواق وصل الزبون,227, ,
لما أنا كنت في المدرسة الناظر عاقب الطلاب,228, ,
لما أنا كنت في العاصمة الوزير  قابل الرئيس,229,Was there a bribe?,
لما أنا كنت في البيت الكهربائي حاسب الاب,230, ,
لما أنا كنت في المطعم الشيف اكل الويتر,231,,
لما أنا كنت في المعمل العالم علم المساعد,224, ,
لما أنا كنت في المستشفى الجراح كلم الممرضة,225, ,
لما أنا كنت في المكتب المحامي حضر المتهم,226, ,
لما أنا كنت في الورشة النجار درب المساعد,227, ,
لما أنا كنت علي المركب القبطان شجع التاقم,228, ,
لما أنا كنت في الاسم الضابط حيا النقيب,229,Did Jason sell a t-shirt?,
