taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
هي ديه كانت جملة تدريبية؟,9,,practice,ديه هي جملتك التدريبية الأولى.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هي ديه كمان كانت جملة تدريبية؟,9,,practice,و ديه جملة تنية للتدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,مهم انك تخلي رأسك ثابتة الوقت كلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ومن فضلك حاول مترمش لما تشوف الجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو ممكن ترمش و الجملة على الشاشة؟,7,,practice,ممكن الرمش بعد الجملة وأثناء الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ولازم كمان تحاول تسترخي قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو يمكن تبص للجنب؟,7,,practice,حافظ على تركيز عينيك على الصندوق الموجود في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,وحاول تخلي وشك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,خذ لحظة عشان تسأل أي أسئلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو حيكون في جمل تدريبية تنية؟,7,,practice,ده هو المثال الأخير للجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,yn.31,هو كان الجار الودود اخد هدية من الجران الجداد؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,3,NP.06,كل وزيرة جديدة بتكلم الرئيس ابل الخطاب.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,2,BA.51,لما هو كان في الملعب المدرب علم اللعيبة.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
هو احنا اكلنا خلال الفيلم؟,9,2,incongruent.06,خلال الفيلم اكلنا فشار بالحظ.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,3,BVA.66,كل مهندس ذكي بيجهز نفسه قبل المشروع.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,2,congruent.51,السنة الدراسية بتبدأ في الخريف.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,2,Control.36,لما أنا كنت في المدرسة الناظر عاقب الطلاب.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
