sentence,trigger,taskQuestion,correctAnswer
كل باريستا محترف يدرب نفسه للنقش عالقهوه,201,,
كل مجرم جريئ يهيئ نفسه نفسياً قبل الجريمة,201,,
كل ممثل شغوف يراجع نفسه قبل المسرحيه,201,Here is where a question will be. Press yes to continue.,
كل مبرمج شغوف يطور نفسه لحل المشكلات,201,This could be another question. Press no to continue.,
كل طالبة مجتهده تعلم نفسها بعد الحصة,201,,
كل ممرض منتبه ينظف نفسه بين الشفتات ,201,,
كل شخص خواف يقنع نفسه يواجه مخاوفه ,201,Maybe another question here. Press yes to continue.,
كل رسام محترف يعلم نفسه الرسم بالتدريج,201,,
كل رياضي مهتم يجهز نفسه قبل المسابقة,201,And another question here. Press no to continue.,
كل متسلق خبير يحمي نفسه قبل التسلق ,201,,
كل ام مقصره تسامح نفسها على  التقصير,201,,
كل اب غايب يلوم نفسه لزعل عياله,201,Did April forget the book?,
كل مجرم سفاح يخفي نفسه من المباحث ,201, ,
كل دكتورة تجميل تجمل نفسها عشان التسويق ,201, ,
كل مريض مُعادي يحبس نفسه في الحجر ,201, ,
كل موظف ناجح يلزم نفسه لنجاح شغله,201, ,
كل طالب متوتر يطمن نفسه بعد الدراسة,201, ,
كل مدير مهموم يهلك نفسه عشان يخلص ,201, ,
كل دكتور يخطء يعاتب نفسه بعد العمليات,201, ,
كل مسبب لحادث يحمل نفسه ذنب الاذى,201, ,
كل ممثل مغرور مدح نفسه وقت العرض,201,Is a hen a female chicken?,
كل طباخ محترف يطور نفسه لأحتياجات المطعم ,201, ,
كل مصوره مبدعه تدرّب نفسها على زوايا ,201,Did Aaron watch a movie?,
كل مغنية مشهوره تهيء نفسها قبل الحفل,201, ,
كل مدرسة مرتبة تراجع نفسها لتحضير الحصص,201, ,
كل طفله تنضج تاكل نفساه عشان تتعلم,201,Did Michael wonder about the game?,
كل متدرب مصر يعلم نفسه عشان يتطور,201,Did Joshua wonder about the cat?,
كل رسامه مبهره تنظف نفسها بعد الرسم,201, ,
كل رياضيه مبتدأه تقنع نفسها قبل التمرين,201, ,
كل محاسبه يديده تلعم نفسها عشان تتفوق ,201, ,
كل مسافره متحمسه تجهز نفسها قبلها بفتره,201, ,
كل عالمة حرصه تحمي نفسها  قبل التجارب,201,,
كل مدمن متشافي يسامح نفسه عشان يتخطى ,201, ,
كل محامية مهمله تلوم نفسها على الخساره ,201, ,
كل طفلة مشاغبه تخفي نفسها من العقاب,201, ,
كل ممثل مخلص يجمل نفسه لمتطلبات الدور,201, ,
كل ممرضه مصابة تحبس نفسها فترة المرض,201,Was there blackmail?,
كل ملكة مخلصة تلزم نفسها لخدمة شعبها,201, ,
كل مديره مهتمه تطمن نفسها بنجاح موظفينها ,201,Did they wash the park?,
كل مستشاره متعمقة تهلك نفسها لصحة مرضاها,201, ,
كل مسؤولة مهتمه تعاتب نفسها لفشل الموظفيين,201, ,
كل مربية مسؤوله تحمل نفسها ذنب الضرر,201, ,
كل صحفية تتنافس تمدح نفسها عشان تفوز,201, ,
كل محامية شغوفه تطور نفسها مع القضايا,201,Did Mark eat the pizza?,
كل مسلم ملتزم يذكر نفسه بتوقيت الصلاة ,201, ,
الباريستا المحترف يدرب نفسه للنقش عالقهوه,201, ,
المجرم الجريئ يهيئ نفسه نفسياً قبل الجريمة,201,Did Eliza read a book?,
الممثل الشغوف يراجع نفسه قبل المسرحية,201, ,
المبرمج الشغوف يطور نفسه لحل المشكلات,201, ,
الطالبة المجتهدة تعلم نفسها بعد الحصة,201, ,
الممرض المنتبه ينظف نفسه بين الشفتات,201,Was there a bribe?,
الشخص الخواف يقنع نفسه يواجه مخاوفه,201, ,
الرسام المحترف يعلم نفسه الرسم بالتدريج,201,,
الرياضي المهتم يجهز نفسه قبل المسابقة,201, ,
المتسلق الخبير يحمي نفسه قبل التسلق,201, ,
الأم المقصرة تسامح نفسها على التقصير,201, ,
الأب الغائب يلوم نفسه لزعل عياله,201, ,
المجرم السفاح يخفي نفسه من المباحث,201, ,
الدكتورة التجميل تجمل نفسها عشان التسويق,201,Did Jason sell a t-shirt?,
المريض المعادي يحبس نفسه في الحجر,201,Was there testimony?,
الموظف الناجح يلزم نفسه لنجاح شغله,201, ,
الطالب المتوتر يطمن نفسه بعد الدراسة,201,Was there a complaint?,
المدير المهموم يهلك نفسه عشان يخلص,201, ,
الدكتور المخطئ يعاتب نفسه بعد العمليات,201, ,
المسبب للحادث يحمل نفسه ذنب الأذى,201,Did Pam brush her teeth?,
الممثل المغرور مدح نفسه وقت العرض,201, ,
الطباخ المحترف يطور نفسه لأحتياجات المطعم,201, ,
المصورة المبدعة تدرّب نفسها على زوايا,201, ,
المغنية المشهورة تهيء نفسها قبل الحفل,201,Did Alexis play tennis?,
المدرسة المرتبة تراجع نفسها لتحضير الحصص,201, ,
الطفلة الناضجة تأكل نفسها عشان تتعلم,201, ,
