Color,ObjectPrompt,Object,CatchQuestion,CorrectAnswer
red,a red apple,apple,Is it a food?,YES
grey,a grey mouse,mouse,Is it an animal?,YES
yellow,a yellow banana,banana,Is it a food?,YES
green,a green lettuce,lettuce,Is it a food?,YES
grey,a grey elephant,elephant,Is it an animal?,YES
green,a green frog,frog,Is it an animal?,YES
black,a black belt,belt,Is it a cloth?,YES
purple,a purple eggplant,eggplant,Is it a food?,YES
brown,a brown horse,horse,Is it an animal?,YES
orange,an orange carrot,carrot,Is it a food?,YES
red,a red cap,cap,Is it a cloth?,YES
grey,a grey pigeon,pigeon,Is it an animal?,YES
yellow,a yellow duck,duck,Is it an animal?,YES
green,a green turtle,turtle,Is it an animal?,YES
black,a black bear,bear,Is it an animal?,YES
purple,a purple onion,onion,Is it a food?,YES
brown,a brown jacket,jacket,Is it a cloth?,YES
orange,an orange cat,cat,Is it an animal?,YES
green,a green cucumber,cucumber,Is it a food?,YES
brown,a brown coconut,coconut,Is it a food?,YES
red,a red chilli,chilli,Is it a cloth?,NO
blue,a blue butterfly,butterfly,Is it a tool?,NO
silver,a silver spoon,spoon,Is it an animal?,NO
silver,a silver watch,watch,Is it a animal?,NO
yellow,a yellow pencil,pencil,Is it a food?,NO
blue,a blue cup,cup,Is it a food?,NO
silver,a silver kettle,kettle,Is it a cloth?,NO
blue,a blue umbrella,umbrella,Is it an animal?,NO
black,a black truck,truck,Is it a cloth?,NO
purple,a purple tulip,tulip,Is it an animal?,NO
orange,an orange basketball,basketball,Is it a food?,NO
red,a red candle,candle,Is it a cloth?,NO
grey,a grey donkey,donkey,Is it a cloth?,NO
yellow,a yellow lemon,lemon,Is it an animal?,NO
silver,a silver coin,coin,Is it a food?,NO
blue,a blue bike,bike,Is it a cloth?,NO
black,a black camera,camera,Is it a food?,NO
purple,a purple crystal,crystal,Is it an animal?,NO
brown,a brown guitar,guitar,Is it an animal?,NO
orange,an orange fish,fish,Is it a furniture?,NO
