order,taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,هل هذي كانت جملة تدريب؟,9,5,practice,هذي أول جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل هذي كانت بعد جملة تدريب؟,9,5,practice,وهذي جملة تدريب ثانيه.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,5,practice,الحيلة هي أن تخلي رأسك ثابت تماما طول الوقت.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,5,practice,لو سمحت حاول ما ترمش خلال الجملة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر ترمش خلال الجملة؟,7,5,practice,تقدر ترمش بعد الجملة وخلال الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,5,practice,لازم تحاول ترتاح قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر تشوف بطرف عينك؟,7,5,practice,حط عينك على الصندوق اللي في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,5,practice,وحاول تخلي ويهك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,5,practice,خذ لحظة عشان تسأل أي سؤال ممكن يكون عندك.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل بيكون في أي جمل تدريب ثانية؟,7,5,practice,هذي آخر جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,البحار جهز طراده؟,9,5,Control.10,"يوم أنا كنت في الميناء، البحار جهز طراده.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2,,,5,fronting.36,منو كان الولد الضايع يدور في المجمع الكبير؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3,,,5,BA.35,"يوم هي كانت في المكتب، السكرتيرة نظمت المستندات.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
4,شرينة ما عتدها ربيعات؟,7,5,incongruent.35,شرينة كل ربيعاتها ليتات.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
5,,,5,cleft.76,شو اللي كان الجار اللطيف ماخذنه من الجيران اليداد؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6,,,5,BVA.31,كل مسافره متحمسه تجهز نفسها قبل السفر.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
7,,,5,RA.27,المتدرب الشغوف يعلم نفسه عشان الأختبار.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
8,,,5,congruent.20,هي مسمايه على أمها.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
9,,,5,BVA.08,كل رسام محترف يعلم نفسه في الستوديو.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
10,,,5,yn.80,كانت البنت المتأخرة تتريا الولد عشان يخلص شغلة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
11,,,5,RA.87,الممثلة القديرة تثقف نفسها من الأدوار.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
12,,,5,BA.50,"يوم هو كان في الشغل، السواق وصل الزبون.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
13,الياهل النشيط يشوف تلفزيون؟,7,5,fronting.32,شو كان الياهل الكسلان يشوف على تلفزيون الصالة؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
14,,,5,incongruent.50,هي بهرت الستيك بالفلفل الطاولة.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
15,,,5,Control.8,"يوم أنا كنت في العمليات، الممرضة ساعدت الدكتور.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
16,,,5,congruent.05,عبدالله كتب جزء من الكتاب.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
17,التلميذ يحل سؤالا؟,9,5,cleft.09,شو اللي كان التلميذ المشغول يحله في قاعة المدرسة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
18,,,5,NP.58,كل مغني مغرور يحب الجمهور في الاستعراض.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
19,,,5,yn.57,كانت الدكتورة الجامعية تناقش النظرية في المؤتمر العلمي؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
20,,,5,NP.11,كل أم مقصرة تسامح عيالها على التقصير.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
21,,,5,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,,5,Control.19,"يوم أنا كنت في الطوارئ، الجراح أنقذ الشيبة.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
