taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
هي ديه كانت جملة تدريبية؟,9,,practice,ديه هي جملتك التدريبية الأولى.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هي ديه كمان كانت جملة تدريبية؟,9,,practice,و ديه جملة تنية للتدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,مهم انك تخلي رأسك ثابتة الوقت كلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ومن فضلك حاول مترمش لما تشوف الجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو ممكن ترمش و الجملة على الشاشة؟,7,,practice,ممكن الرمش بعد الجملة وأثناء الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ولازم كمان تحاول تسترخي قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو يمكن تبص للجنب؟,7,,practice,حافظ على تركيز عينيك على الصندوق الموجود في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,وحاول تخلي وشك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,خذ لحظة عشان تسأل أي أسئلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو حيكون في جمل تدريبية تنية؟,7,,practice,ده هو المثال الأخير للجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3,in-situ.81,هو كان الولد الضايع بيضرب مين في المول الكبير؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,congruent.07,إيمان حطت كورنفلكس في البولة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,3,NP.82,كل موظف ناجح بيتعب الفريق عشان النجاح.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
هو الولد بيشتري حاجة من المول؟,7,3,in-situ.73,هو كان الولد الصغير بيشتري ايه من الدكان العصر؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,BA.37,لما هو كان في العاصمة الوزير قابل الرئيس.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,3,BVA.67,كل عجوز حكيم بيعلم نفسه من الحياة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,3,cleft.44,مين الي كان الجراح الخبير بيعالجه من الفريق الوطني؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
