1 Connector,2 Connectors,3 Connectors,4 Connectors
زيارة,ٱتحاد,حكومة,منطقة
إجراء,مشروع,مدينة,عملية
ٱمرأة,إنسان,مؤتمر,تحقيق
إعادة,مسؤول,مرحلة,نتيجة
زيادة,وكالة,مستوى,حقيقة
دراسة,قانون,سياسة,مشكلة
إشارة,ٱتفاق,جامعة,منظمة
ضرورة,رسالة,مؤسسة,مجتمع
إرهاب,سيارة,نهاية,محكمة
صاروخ,أسبوع,تقرير,تعليم
دائرة,تعاون,بطولة,صحيفة
رواية,تاريخ,عاصمة,جمعية
إرسال,دكتور,تصريح,تنفيذ
إعداد,رئاسة,مقابل,مصلحة
قراءة,إضافة,مركبة,تنظيم
إفراج,موضوع,دقيقة,سفينة
إقرار,ٱتصال,وسيلة,تنمية
إعدام,قيادة,جماعة,منتخب
صدارة,مدرسة,مسألة,تغيير
إخراج,أثناء,معرفة,كنيسة
ديوان,مواطن,جريمة,خليفة
زراعة,إقامة,صناعة,مملكة
زاوية,سعادة,حديقة,طبيعة
حرارة,إنتاج,تقديم,مسكين
إصدار,بداية,معلوم,هنيهة
عدوان,أستاذ,تطوير,تفكير
إذاعة,صندوق,ناحية,تفصيل
إكرام,إصابة,طريقة,معسكر
إزالة,قاعدة,حماية,تشكيل
إدانة,جائزة,محافظ,شخصية
تداول,خسارة,متحدث,تطبيق
توازن,إنشاء,أهمية,تعبير
إدخال,كانون,عائلة,تسجيل
أرجاء,إنقاذ,ثقافة,معتقل
ذاكرة,طائرة,تجربة,منتصف
إصرار,دستور,تعديل,تكليف
إثارة,فائدة,إقليم,تسليم
إبداع,عبارة,تأثير,سلسلة
إيراد,تجارة,محامي,تحسين
إنذار,جزيرة,تحديد,تعيين
إجازة,تدريب,عاطفة,تعليق
إرشاد,عنوان,عقوبة,تفجير
إساءة,أسلوب,مرميس,تلميذ
إمداد,تراجع,جمهور,قنبلة
براءة,مائدة,ٱتجاه,تنسيق
ٱدعاء,رعاية,معركة,قبيلة
إحراز,إمكان,توفير,تمثيل
أمارة,دينار,أغنية,مصيبة
إضراب,إنجاز,تعامل,تشجيع
إسراع,ظاهرة,ترتيب,مختلف
بادرة,شهادة,تعزيز,سكينة
إغراء,ٱتخاذ,تهديد,تشغيل
إرضاء,معارض,تأكيد,كيفية
وسادة,تبادل,صحافي,تقليد
إرساء,إعجاب,حكاية,فضيلة
إبرام,نافذة,توقيع,حقيبة
إحداث,توزيع,ٱتهام,حصيلة
مرارة,طيران,متمرد,تغطية
إبادة,تعادل,وثيقة,مكتبة
زلزال,صحراء,وظيفة,تحليل
مزارع,سيادة,تمويل,تفتيش
سرداب,سفارة,تقدير,طليعة
سروال,ميدان,كتابة,نصيحة
إرجاع,حيوان,مخافة,تسهيل
إبداء,مقدار,مهندس,تفعيل
بارود,إيجاد,تحرير,تخفيف
إيوان,تناول,تربية,كتيبة
دراجة,أمانة,ميناء,تقييم
دورية,مذكرة,تدبير,تجهيز
إطراء,أنصار,تأمين,شقيقة
عذراء,بترول,سيطرة,تعقيب
إفادة,جريدة,تحالف,تفسير
ضراوة,مدافع,مهاجم,تخطيط
روائي,كرامة,مساحة,تخفيض
وجدان,جارية,عناية,فضيحة
عداوة,إلغاء,مسافة,تصميم
تدارك,واسطة,عصابة,فلسفة
إحراق,إجابة,برميل,متنكر
إيداع,رياضة,صعوبة,متنبي
إقراض,نموذج,صحافة,تخصيص
