taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
هي ديه كانت جملة تدريبية؟,9,,practice,ديه هي جملتك التدريبية الأولى.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هي ديه كمان كانت جملة تدريبية؟,9,,practice,و ديه جملة تنية للتدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,مهم انك تخلي رأسك ثابتة الوقت كلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ومن فضلك حاول مترمش لما تشوف الجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو ممكن ترمش و الجملة على الشاشة؟,7,,practice,ممكن الرمش بعد الجملة وأثناء الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ولازم كمان تحاول تسترخي قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو يمكن تبص للجنب؟,7,,practice,حافظ على تركيز عينيك على الصندوق الموجود في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,وحاول تخلي وشك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,خذ لحظة عشان تسأل أي أسئلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو حيكون في جمل تدريبية تنية؟,7,,practice,ده هو المثال الأخير للجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,in-situ.37,هو كانت الشاعرة الحساسة بتوصف مين في الديوان المشهور؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,congruent.15,المتسكل ممكن يعمل دوشة.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,NP.59,كل كاتب محبوب بيتحدى الشخصيات عشان يتحسن.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
هو المريضة كانت جعانة؟,9,1,in-situ.25,هو كانت المريضة الجعانة بتاكل ايه عشان تتحسن حالتها؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,Control.60,لما أنا كنت في المصنع النجار عمل ترابيزة.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,RA.75,الشخص الجبان بيشجع نفسه قبل المواجهة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,incongruent.45,من سوء الحظ المشي تحت المراكب.,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
