taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,,4,practice,这是 第一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
这是不是也是一句测试句子？,9,4,practice,这是 另一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4,practice,重要的是 请 全程 保持 你的 头部 不动。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4,practice,同时 请 尽量 不要 在 句子 出现的 过程中 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可不可以在句子出现过程中眨眼？,7,4,practice,你 可以 在 句子 全部 出现后 或 回答 问题 时 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4,practice,你 应该 尝试 尽可能地 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可以看向画面两边吗？,7,4,practice,请 将 目光 保持在 画面 中心 的 方框 中。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4,practice,尽量 保持 脸部 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4,practice,现在 你 可以 向 我们 提出 任何 疑问。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
还会有更多的测试句子吗？,7,4,practice,这是 最后 一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
老板是花店的吗？,7,4,yesno.37,艾莎 想知道 那个 鱼店的 老板 读了 那章 小说 给 瑜伽的 教练 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,4,condition4.07,那个 教授 锻炼 的时候 说 警察局长 穿了 崭新的 卫衣。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,4,congruent.52,卫生间 的 水龙头 坏了。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,condition3.22,每个 导演 演出 的时候 都 说 选角导演 选了 正确的 明星。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
粉丝是男主的粉丝吗？,7,4,insitu.07,鲍勃 想知道 那个 电影的 主角 丢了 什么 给 女主的 粉丝。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,BVA.112,每个 鞋匠 制鞋 的时候 都 说 自己 用了 高级的 皮革。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,incongruent.07,艾米莉 把 麦片 倒在了 天上。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,4,condition4.67,那个 牙医 手术 的时候 说 保洁工人 做了 彻底的 清洁。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,4,thehell.67,亨利 想知道 那个 影厅的 小丽 到底 卖了 什么 给 泳池的 员工。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,4,incongruent.37,每周一 园丁 都 会 打扫 鸡排。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
专家说自己做了十足的准备吗？,9,4,BVA.52,每个 专家 宣传 的时候 都 说 自己 做了 十足的 准备。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,insitu.52,菲尔 想知道 那个 电台的 主播 喂了 什么 给 人事的 宠物。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,RA.37,那个 实习 离职 的时候 说 自己 写了 真诚的 信件。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
工地有工人吗？,9,4,thehell.22,张三 想知道 那个 工地的 工人 到底 留了 什么 给 老婆的 工头。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,4,condition3.82,每个 导师 授课 的时候 都 说 博士学生 写了 细致的 教案。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,4,yesno.82,凯恩 想知道 那个 菜场的 摊贩 配了 那份 午餐 给 球场的 球童 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,4,RA.97,那个 乘客 出行 的时候 说 自己 戴了 崭新的 口罩。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,4,congruent.22,那个 男孩 帮 小李 洗了 车。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4,yesno.81,老黄 想知道 那个 政府的 官员 提了 那个 方案 给 展览的 策展 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,4,BVA.111,每个 校长 升旗 的时候 都 说 自己 唱了 庄严的 国歌。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,insitu.51,罗伊 想知道 那个 驾校的 教练 卖了 什么 给 视频的 审核。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,condition4.66,那个 安检 检查 的时候 说 保安人员 搜了 可疑的 包裹。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
花匠是植物园的花匠吗？,7,4,yesno.36,尼克 想知道 那个 飞机的 机长 讲了 那则 新闻 给 花圃的 花匠 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,4,condition3.21,每个 工人 下岗 的时候 都 说 包工师傅 存了 极少的 存款。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
邻国有难民吗？,9,4,insitu.06,阿信 想知道 那个 歌手的 弟弟 捐了 什么 给 邻国的 难民。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,BVA.51,每个 剪辑 拍照 的时候 都 说 自己 看了 有趣的 视频。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,congruent.51,秋季 学期 从 秋天 开始。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,4,condition4.06,那个 保安 执勤 的时候 说 公关经理 忘了 厚重的 棉袄。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
大学有讲师吗？,9,4,thehell.21,小杨 想知道 那个 大学的 讲师 到底 拿了 什么 给 校长的 宾客。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,4,condition3.81,每个 大使 来访 的时候 都 说 行政主管 选了 大气的 礼物。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,4,incongruent.36,乔伊 扭伤了 他的 水果。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
水手吻了自己的哥哥吗？,7,4,RA.36,那个 水手 出海 的时候 说 自己 吻了 深爱的 爱人。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,4,thehell.66,里奥 想知道 那个 宿舍的 宿管 到底 买了 什么 给 青旅的 住客。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,4,incongruent.06,看电影 的时候 我们 吃了 吸尘器。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,4,RA.96,那个 丈夫 出门 的时候 说 自己 带了 新买的 水瓶。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,4,congruent.21,香氛 让 车里 充满了 香味。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
她有的是一条狗吗？,7,4,congruent.20,她 和 她的 猫 有着 一样的 名字。,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
,,4,BVA.110,每个 出纳 计算 的时候 都 说 自己 找了 最新的 数据。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,thehell.65,达拉 想知道 那个 仓库的 库管 到底 丢了 什么 给 广场的 大妈。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
主任说自己做了微薄的贡献吗？,7,4,RA.35,那个 主任 演讲 的时候 说 自己 做了 杰出的 贡献。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,4,yesno.80,小徐 想知道 那个 家电的 导购 赔了 那台 电视 给 香港的 球员 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,4,incongruent.05,查理 给 新书 写了 一个 燃油。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
,,4,condition4.65,那个 策展 布展 的时候 说 研究助理 做了 全面的 研究。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,4,insitu.50,彼得 想知道 那个 部门的 主任 买了 什么 给 小区的 电工。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,condition3.20,每个 保洁 开工 的时候 都 说 维修师傅 拖了 肮脏的 地面。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,4,incongruent.35,凯西 被 所有人 咀嚼。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,RA.95,那个 小偷 盗窃 的时候 说 自己 翻了 全部的 橱柜。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
她用胡椒腌制了牛排吗？,9,4,congruent.50,她 用 胡椒 腌制了 牛排。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,4,condition4.05,那个 老板 开会 的时候 说 人力资源 讲了 简单的 几句。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,4,yesno.35,露西 想知道 那个 导演的 助理 端了 那份 盒饭 给 乐团的 乐手 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
声优说自己吃了喉糖吗？,9,4,BVA.50,每个 声优 录音 的时候 都 说 自己 吃了 清新的 喉糖。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,4,thehell.20,老张 想知道 那个 餐车的 厨师 到底 分了 什么 给 后勤的 学徒。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,4,condition3.80,每个 明星 吃饭 的时候 都 说 经纪团队 挑了 最少的 碳水。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,4,insitu.05,小王 想知道 那个 酒吧的 酒保 发了 什么 给 商场的 顾客。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
