Color,ObjectPrompt,Object
red,a red rose,rose
black,a black bear,bear
yellow,a yellow taxi,taxi
silver,a silver lamp,lamp
purple,a purple cake,cake
orange,an orange cat,cat
green,a green lettuce,lettuce
blue,a blue cup,cup
brown,a brown table,table
grey,a grey sweater,sweater
red,a red chilli,chilli
black,a black spider,spider
yellow,a yellow duck,duck
silver,a silver coin,coin
purple,a purple onion,onion
orange,an orange chair,chair
green,a green snake,snake
blue,a blue bottle,bottle
brown,a brown coconut,coconut
grey,a grey pigeon,pigeon
red,a red cap,cap
black,a black suit,suit
yellow,a yellow banana,banana
silver,a silver kettle,kettle
purple,a purple dress,dress
orange,an orange pepper,pepper
green,a green parrot,parrot
blue,a blue shirt,shirt
brown,a brown suitcase,suitcase
grey,a grey mouse,mouse
red,a red mailbox,mailbox
black,a black belt,belt
yellow,a yellow corn,corn
silver,a silver ring,ring
purple,a purple eggplant,eggplant
orange,an orange carrot,carrot
green,a green cucumber,cucumber
blue,a blue butterfly,butterfly
brown,a brown jacket,jacket
grey,a grey wolf,wolf
red,a red rose,rose
black,a black bear,bear
yellow,a yellow taxi,taxi
silver,a silver lamp,lamp
purple,a purple cake,cake
orange,an orange cat,cat
green,a green lettuce,lettuce
blue,a blue cup,cup
brown,a brown table,table
grey,a grey sweater,sweater
