taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
هل هذي كانت جملة تدريب؟,9,6,practice,هذي أول جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هل هذي كانت بعد جملة تدريب؟,9,6,practice,وهذي جملة تدريب ثانيه.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,الحيلة هي أن تخلي رأسك ثابت تماما طول الوقت.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,لو سمحت حاول ما ترمش خلال الجملة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هل تقدر ترمش خلال الجملة؟,7,6,practice,تقدر ترمش بعد الجملة وخلال الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,لازم تحاول ترتاح قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هل تقدر تشوف بطرف عينك؟,7,6,practice,حط عينك على الصندوق اللي في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,وحاول تخلي ويهك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,خذ لحظة عشان تسأل أي سؤال ممكن يكون عندك.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هل بيكون في أي جمل تدريب ثانية؟,7,6,practice,هذي آخر جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
الطباخ يجهز الغدا؟,7,6,yn.23,كان الطباخ المحترف يجهز العشاء في مطبخ المطعم؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,RA.62,الموظف المركز يختبر نفسه بعد المشروع.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
اليد حضن حد؟,9,6,fronting.88,منو كان اليد الحنون يحضن عشان يوقف صياح؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,6,incongruent.28,الولد الصغير شات السيارة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,cleft.49,منو اللي كان الاب الفخور يشجعه في مباراة الكورة؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
الرسامة خلت الأطفال بوصاختهم؟,7,6,NP.28,كل رسامة مبهرة تنظف الأطفال بعد الرسم.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,BA.28,"يوم هي كانت في الاستوديو، المذيعه نشرة الأخبار.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,NP.88,المدرس المضغوط يهدي الطلاب بعد الامتحانات.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,fronting.67,شو كانت الخياطة الشاطرة تطرز حق العروسه الجميلة؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,6,BVA.83,كل مريضة متوترة تطمن نفسها بعد العلاج.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,Control.58,"يوم أنا كنت في الورشة، النجار درب المساعد.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.13,سالم طلب برجر وبطاط أوراق.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,BVA.15,كل مريض معدي يحبس نفسه في الحجر.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
المدرب مرن المتسابقين؟,9,6,BA.24,"يوم هو كان في الجم، المدرب مرن المتسابقين.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,congruent.58,الشتاء كان وايد قاسي هالسنة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,Control.43,"يوم أنا كنت في البيت، الممرضة ساعدت الأم.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,cleft.54,منو اللي كانت البطلة الشجاعة تحاربه في اخر رواية؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,RA.89,الخياطة المعروفة تدرب نفسها على التطريز.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,yn.16,كانت الممرضة الطيبة تساعد العيوز في غرفة الطواري؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,congruent.43,جوتيها اليديد كان كبير حجمه.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,Control.38,"يوم أنا كنت في السوق، الخياطة كاسرت التاجر.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,NP.10,كل متسلق خبير يحمي زميله قبل التسلق.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,cleft.41,منو اللي كان الممثل المشهور ينافسه في الاوسكار الاخير؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,RA.68,المجرم المسجون يحاسب نفسه على الحكم.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,fronting.83,منو كانت المذيعه اللطيفه تكلم على الراديو الصبح؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,6,BVA.54,كل باريستا تعبان يشرب نفسه من القهوه.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,congruent.53,الطراد مر بسهولة تحت الجسر.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,Control.53,"يوم أنا كنت في البيت، الكهربجي حاسب الابو.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
الطيار تجهز للإقلاع؟,9,6,BA.15,"يوم هو كان في المطار، الطيار تجهز للاقلاع.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,cleft.37,شو اللي كانت الحرمة اللغايه تقوله في عزيمة الأهل؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,NP.39,كل مديرة مهتمة تطمن المسؤول بعد النجاح.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
