order,taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,هل هذي كانت جملة تدريب؟,9,3,practice,هذي أول جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل هذي كانت بعد جملة تدريب؟,9,3,practice,وهذي جملة تدريب ثانيه.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,3,practice,الحيلة هي أن تخلي رأسك ثابت تماما طول الوقت.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,3,practice,لو سمحت حاول ما ترمش خلال الجملة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر ترمش خلال الجملة؟,7,3,practice,تقدر ترمش بعد الجملة وخلال الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,3,practice,لازم تحاول ترتاح قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر تشوف بطرف عينك؟,7,3,practice,حط عينك على الصندوق اللي في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,3,practice,وحاول تخلي ويهك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,3,practice,خذ لحظة عشان تسأل أي سؤال ممكن يكون عندك.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل بيكون في أي جمل تدريب ثانية؟,7,3,practice,هذي آخر جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,,3,fronting.60,شو كان العامل الشيبة يبيع في محله الصغير؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2,,,3,incongruent.08,كتب لها رسالة حب بالسندويش.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3,المستشارة توعي عن الصحة النفسية؟,7,3,yn.14,كانت المستشارة المتسامحة تشرح السياسات في غرفة الاجتماع؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
4,,,3,RA.67,المغنية المشهورة تشجع نفسها قبل الاستعراض.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
5,الأبو أستخدم السكين؟,9,3,congruent.38,الأبو قطع الديج الرومي بالسكين.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
6,,,3,BVA.39,كل مديره مهتمه تطمن نفسها بعد النجاح.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
7,الأسمده تفسد؟,7,3,incongruent.23,الأسمدة تحسن جودة الخارطة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
8,,,3,yn.04,كان الشخص المريض يتريا الدكتور في المستشفى الصغيرة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
9,,,3,BA.16,"يوم هي كانت في الأجتماع، السكرتيره كتبت الملاحظات.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
10,,,3,NP.59,كل حرمة شجاعة تحب الرواد في المجتمع.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
11,,,3,cleft.37,شو اللي كانت الحرمة اللغايه تقوله في عزيمة الأهل؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
12,الطيار في الطيارة؟,9,3,BA.15,"يوم هو كان في المطار، الطيار تجهز للاقلاع.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
13,,,3,Control.53,"يوم أنا كنت في البيت، الكهربجي حاسب الابو.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
